Name,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Kaylee,,,,,,,,,,4492,6085
Kelly,,,,,,8680,14609,13715,8135,,
Kelsey,,,,,,,,,9494,3669,
Khloe,,,,,,,,,,,5398
Kim,,,,,,12474,4725,,,,
Kimberly,,,,,,16855,34142,18497,10192,5240,3865
Kristen,,,,,,,4602,7318,8073,,
Kristin,,,,,,,5637,7701,5301,,
Kristina,,,,,,,,4226,4390,,
Kristy,,,,,,,,4059,,,
Kylie,,,,,,,,,,,4592
Laura,1834,4171,2907,,5726,17063,16496,12916,10908,3732,
Lauren,,,,,,,,7474,20498,14172,4464
Laurie,,,,,,10144,4392,,,,
Layla,,,,,,,,,,,5882
Leah,,,,,,,,3638,3924,3395,6527
Lena,1431,2785,,,,,,,,,
Leona,1220,3166,,,,,,,,,
Leslie,,,,,,5238,5621,4777,,3620,
Lillian,4127,10050,5452,2524,,,,,,,6946
Lillie,1824,3161,,,,,,,,,
Lily,,,,,,,,,,,7974
Linda,,,,18369,80431,37315,8737,,,,
Lindsay,,,,,,,,4354,5036,,
Lindsey,,,,,,,,3388,6782,,
Lisa,,,,,,33705,38960,15660,5344,,
Lois,1272,6561,10115,6126,4506,,,,,,
Loretta,,,,3501,,,,,,,
Lori,,,,,,18685,13444,4084,,,
Lorraine,,3928,5165,2582,,,,,,,
Louise,3457,9181,6940,3924,,,,,,,
Lucille,2692,7986,4326,,,,,,,,
Lucy,1283,3017,,,,,,,,,3633
Lula,974,,,,,,,,,,
Lynn,,,,,5020,6851,,,,,
Mabel,2123,3364,,,,,,,,,
Mackenzie,,,,,,,,,,6348,3873
Madeline,,,,,,,,,,5370,3601
Madelyn,,,,,,,,,,,3616
Madison,,,,,,,,,,19967,13166
Mae,1453,2730,,,,,,,,,
Maggie,940,,,,,,,,,,
Makayla,,,,,,,,,,4916,5386
Mamie,1079,,,,,,,,,,
Marcia,,,,,4951,,,,,,
Margaret,8226,27995,18351,15057,18102,11367,4707,,,,
Marguerite,1086,3054,,,,,,,,,
Maria,,,2541,,5077,7521,8658,7856,7181,6851,3413
Mariah,,,,,,,,,,4103,3097
Marian,,3844,3213,,,,,,,,
